"Trust Code","Trust Name","efficiency_vrs","efficiency_vrs_weighted","impact_of_weighting"
"RA2","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",0.0387142254367703,0.0387142254367703,0
"RAL","ROYAL FREE LONDON NHS FOUNDATION TRUST",0.0383272229746172,0.0383272229746172,0
"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0.0373921579501431,0.0373921579501431,0
"RH8","ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST",0.0368549155532934,0.0368549155532934,0
"RWA","HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",0.0366925963302727,0.0366925963302727,0
"RKL","WEST LONDON NHS TRUST",0.0365349653716574,0.0365349653716574,0
"TAF","CAMDEN AND ISLINGTON NHS FOUNDATION TRUST",0.0358882405222594,0.0358882405222594,0
"RR7","GATESHEAD HEALTH NHS FOUNDATION TRUST",0.0358374455332701,0.0358374455332701,0
"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST",0.0354666077324012,0.0354666077324012,0
"RV5","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST",0.0338522764395018,0.0338522764395018,0
"RRF","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",0.0323228733380987,0.0323228733380987,0
"RCD","HARROGATE AND DISTRICT NHS FOUNDATION TRUST",0.0323072269230126,0.0323072269230126,0
"RAJ","MID AND SOUTH ESSEX NHS FOUNDATION TRUST",0.0302585431964268,0.0302585431964268,0
"RK5","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",0.028504572110431,0.028504572110431,0
"R1K","LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",0.0282018984628876,0.0282018984628876,0
"RDE","EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",0.0269048688226354,0.0269048688226354,0
"RAX","KINGSTON HOSPITAL NHS FOUNDATION TRUST",0.0263723643404598,0.0263723643404598,0
"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST",0.0255176089105108,0.0255176089105108,0
"RK9","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",0.0253093832442617,0.0253093832442617,0
"RQX","HOMERTON HEALTHCARE NHS FOUNDATION TRUST",0.0244699178078028,0.0244699178078028,0
"RNS","NORTHAMPTON GENERAL HOSPITAL NHS TRUST",0.0242295176064215,0.0242295176064215,0
"RAE","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0238928625418044,0.0238928625418044,0
"RWD","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",0.0225935281162983,0.0225935281162983,0
"RXV","GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST",0.022548034946402,0.022548034946402,0
"RWJ","STOCKPORT NHS FOUNDATION TRUST",0.0215064767166654,0.0215064767166654,0
"R0A","MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",0.0204960853473398,0.0204960853473398,0
"RHW","ROYAL BERKSHIRE NHS FOUNDATION TRUST",0.0199499155301989,0.0199499155301989,0
"RN7","DARTFORD AND GRAVESHAM NHS TRUST",0.0184606558069488,0.0184606558069488,0
"RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.0183223478032927,0.0183223478032927,0
"RGN","NORTH WEST ANGLIA NHS FOUNDATION TRUST",0.0168933216480894,0.0168933216480894,0
"RGT","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.0166844608633137,0.0166844608633137,0
"RM3","NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST",0.0166093770855495,0.0166093770855495,0
"RJ6","CROYDON HEALTH SERVICES NHS TRUST",0.0162882657495258,0.0162882657495258,0
"RYR","UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST",0.0162853620195113,0.0162853620195113,0
"RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",0.0156876870467214,0.0156876870467214,0
"RW4","MERSEY CARE NHS FOUNDATION TRUST",0.0151988293756535,0.0151988293756535,0
"RJE","UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",0.0147186688577453,0.0147186688577453,0
"RTF","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",0.0143769472653786,0.0143769472653786,0
"RVW","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",0.0143490623164648,0.0143490623164648,0
